"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 02 07:57:43 UTC 2023","Wed Aug 02 07:57:43 UTC 2023","52","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Aug 02 08:23:00 UTC 2023","Wed Aug 02 08:23:00 UTC 2023","268","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Aug 02 08:19:36 UTC 2023","Wed Aug 02 08:19:44 UTC 2023","7852","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Aug 02 08:19:22 UTC 2023","Wed Aug 02 08:19:36 UTC 2023","14355","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Aug 02 08:23:00 UTC 2023","Wed Aug 02 08:23:10 UTC 2023","9672","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Aug 02 07:58:02 UTC 2023","Wed Aug 02 07:58:27 UTC 2023","25389","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Aug 02 08:05:24 UTC 2023","Wed Aug 02 08:05:43 UTC 2023","18909","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Aug 02 08:20:14 UTC 2023","Wed Aug 02 08:20:22 UTC 2023","8804","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"skipped","Wed Aug 02 07:57:52 UTC 2023","Wed Aug 02 07:57:52 UTC 2023","1","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed Aug 02 08:39:24 UTC 2023","Wed Aug 02 08:39:24 UTC 2023","516","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Aug 02 08:39:02 UTC 2023","Wed Aug 02 08:39:20 UTC 2023","17715","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Aug 02 08:22:57 UTC 2023","Wed Aug 02 08:23:00 UTC 2023","3137","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Aug 02 08:35:58 UTC 2023","Wed Aug 02 08:36:01 UTC 2023","2867","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Aug 02 07:57:43 UTC 2023","Wed Aug 02 07:57:52 UTC 2023","8285","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Aug 02 07:58:27 UTC 2023","Wed Aug 02 07:58:36 UTC 2023","8561","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Wed Aug 02 08:39:20 UTC 2023","Wed Aug 02 08:39:24 UTC 2023","3495","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Aug 02 08:23:10 UTC 2023","Wed Aug 02 08:23:11 UTC 2023","829","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Aug 02 08:20:07 UTC 2023","Wed Aug 02 08:20:14 UTC 2023","6213","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Aug 02 08:19:44 UTC 2023","Wed Aug 02 08:19:47 UTC 2023","2517","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"failed","Wed Aug 02 07:58:36 UTC 2023","Wed Aug 02 08:01:07 UTC 2023","151311","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Aug 02 08:39:00 UTC 2023","Wed Aug 02 08:39:02 UTC 2023","1978","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Aug 02 07:57:52 UTC 2023","Wed Aug 02 07:58:02 UTC 2023","10312","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Aug 02 08:05:43 UTC 2023","Wed Aug 02 08:05:47 UTC 2023","4502","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Aug 02 08:36:01 UTC 2023","Wed Aug 02 08:36:18 UTC 2023","17143","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Aug 02 08:35:51 UTC 2023","Wed Aug 02 08:35:58 UTC 2023","6545","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Aug 02 08:35:35 UTC 2023","Wed Aug 02 08:35:51 UTC 2023","16518","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Aug 02 07:57:26 UTC 2023","Wed Aug 02 07:57:43 UTC 2023","17584","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Aug 02 08:05:48 UTC 2023","Wed Aug 02 08:06:41 UTC 2023","53854","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed Aug 02 08:04:27 UTC 2023","Wed Aug 02 08:04:32 UTC 2023","4602","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Aug 02 08:01:08 UTC 2023","Wed Aug 02 08:01:18 UTC 2023","10366","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
